time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
981,4424,50.0,225,20002.676932711154,221200,29659,-5.31114839,211150,1.5999126982688905,0.001,0.0015596462623216213
981,4428,50.0,225,20017.67471718788,221400,29681,-5.321021850000001,211350,1.5836694860458373,0.001,0.0019189083366654813
982,4432,50.0,225,20033.344675619155,221600,29704,-5.387388390000001,211550,1.5777233004570008,0.001,0.0012796210160013288
983,4436,50.0,225,20045.88513655588,221800,29723,-5.44941896,211750,1.5516360330581664,0.001,0.001435275002149865
984,4440,50.0,225,20063.0387012735,222000,29751,-5.476991829999999,211950,1.5666832661628722,0.001,0.0011540280329063535
985,4444,50.0,225,20078.34392329678,222200,29772,-5.467254359999999,212150,1.5914010167121888,0.001,0.0015918063325807451
986,4448,50.0,225,20088.340616725385,222400,29794,-5.4587572799999995,212350,1.5789165687561035,0.001,0.0012155224452726544
987,4452,50.0,225,20100.627977710217,222600,29814,-5.426462239999999,212550,1.5679509806632996,0.001,0.0011850639141630381
989,4456,50.0,225,20111.875850152224,222800,29829,-5.39333147,212750,1.5563955903053284,0.001,0.0012104436964727938
990,4460,50.0,225,20122.67642850429,223000,29844,-5.41486993,212950,1.5682901334762573,0.001,0.0018439776776358486
991,4464,50.0,225,20135.922351285815,223200,29862,-5.454954709999999,213150,1.5981813812255858,0.001,0.001317866339813918
992,4468,50.0,225,20149.447226356715,223400,29889,-5.511767600000001,213350,1.5466787648200988,0.001,0.0017370824154932052
993,4472,50.0,225,20154.910536900163,223600,29902,-5.50183866,213550,1.5486251401901245,0.001,0.0014770017168484629
994,4476,50.0,225,20174.37518910691,223800,29926,-5.610960599999999,213750,1.5507999634742737,0.001,0.0015856689598876983
995,4480,50.0,225,20180.318042255938,224000,29941,-5.568924229999999,213950,1.5537972521781922,0.001,0.0016163131431676447
996,4484,50.0,225,20199.939961083233,224200,29965,-5.593671820000001,214150,1.558794114589691,0.001,0.0011639997106976808
997,4488,50.0,225,20216.798551246524,224400,29990,-5.57629476,214350,1.5583720898628235,0.001,0.0012948711507488042
998,4492,50.0,225,20225.715719223022,224600,30003,-5.57669289,214550,1.564819586277008,0.001,0.0016036957991309463
999,4496,50.0,225,20232.330935269594,224800,30017,-5.58566943,214750,1.558858540058136,0.001,0.0014762779895681887
1000,4500,50.0,224,20240.385785471648,225000,30029,-5.548405229999999,214950,1.5498653650283813,0.001,0.001490209512412548
1000,4504,50.0,224,20257.183084066957,225200,30051,-5.581199299999998,215150,1.571245996952057,0.001,0.0012361963221337647
1001,4508,50.0,224,20271.89099460095,225400,30068,-5.48679933,215350,1.5656973099708558,0.001,0.002528325456660241
1003,4512,50.0,224,20280.53914476931,225600,30079,-5.40250303,215550,1.5698604822158813,0.001,0.001421526991762221
1003,4516,50.0,224,20293.79936492443,225800,30100,-5.40172747,215750,1.553197479248047,0.001,0.001191958838608116
