time/total_timesteps,cv/rollout_cv_value,cv/rollout_cv_count,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
239400,23019.45122796297,30792,4788,-5.306377229999999,1113,215,50.0,1.3495538663864135,0.001,229350,0.0010041384724900127
239600,23044.76662331447,30820,4792,-5.3784044799999995,1114,215,50.0,1.3742554807662963,0.001,229550,0.005227568523259833
239800,23064.28802413866,30839,4796,-5.434772519999999,1115,215,50.0,1.3612344813346864,0.001,229750,0.0011084253713488578
240000,23072.242258202285,30848,4800,-5.43174934,1116,214,50.0,1.3552865552902222,0.001,229950,0.0008658679126529023
240200,23083.749263584614,30863,4804,-5.398760639999999,1117,214,50.0,1.3468382358551025,0.001,230150,0.0009328077285317704
240400,23095.31141874194,30879,4808,-5.3846035500000005,1118,214,50.0,1.337650763988495,0.001,230350,0.0009159731602994725
240600,23101.636815465987,30891,4812,-5.31462811,1119,214,50.0,1.345368902683258,0.001,230550,0.0008685608441010117
240800,23124.289898626506,30916,4816,-5.352441790000001,1120,214,50.0,1.3713331365585326,0.001,230750,0.0008527812862303108
241000,23131.9824106656,30931,4820,-5.350657109999998,1121,214,50.0,1.3734319448471068,0.001,230950,0.0008013390772975981
241200,23137.266691476107,30944,4824,-5.3060937,1122,214,50.0,1.3452954053878785,0.001,231150,0.0012528501369524748
241400,23152.56538613513,30962,4828,-5.32330456,1122,214,50.0,1.3249747610092164,0.001,231350,0.0010177313128951937
241600,23165.415870327502,30977,4832,-5.305572690000002,1123,214,50.0,1.370500741004944,0.001,231550,0.0010162432875949888
241800,23183.387470003217,31001,4836,-5.297450509999999,1124,214,50.0,1.367667875289917,0.001,231750,0.0010014079156098886
242000,23215.74024837464,31030,4840,-5.39902116,1125,214,50.0,1.3521248531341552,0.001,231950,0.0008335898420773446
242200,23239.050078060478,31055,4844,-5.4328352,1126,214,50.0,1.343540244102478,0.001,232150,0.0008248170197475702
242400,23255.43834959343,31078,4848,-5.43177347,1127,214,50.0,1.3739946460723877,0.001,232350,0.0007730853481916711
242600,23264.760117292404,31096,4852,-5.4145990799999995,1128,214,50.0,1.3320253586769104,0.001,232550,0.000995778003707528
242800,23290.37846685946,31125,4856,-5.4836694800000005,1129,214,50.0,1.3766768169403076,0.001,232750,0.0009601946867769584
243000,23300.40992192179,31141,4860,-5.425021690000001,1130,214,50.0,1.3626476550102233,0.001,232950,0.001049682288430631
243200,23313.984272956848,31156,4864,-5.3938261999999995,1131,214,50.0,1.3596742129325867,0.001,233150,0.001024714903323911
243400,23322.063444264233,31168,4868,-5.334745129999999,1132,214,50.0,1.3691647887229919,0.001,233350,0.0008330270688747987
243600,23336.185324177146,31186,4872,-5.318653690000001,1133,214,50.0,1.342015154361725,0.001,233550,0.0009715421171858907
243800,23358.16825998947,31209,4876,-5.345008599999999,1134,214,50.0,1.3812057304382324,0.001,233750,0.000975693145301193
244000,23368.661608941853,31220,4880,-5.30853482,1135,214,50.0,1.3634143877029419,0.001,233950,0.001046570575563237
244200,23395.28860994056,31248,4884,-5.36077679,1136,214,50.0,1.352401580810547,0.001,234150,0.000771449173334986
244400,23412.722206048667,31273,4888,-5.39932487,1137,214,50.0,1.3608966326713563,0.001,234350,0.0008751771459355951
244600,23433.46931812167,31299,4892,-5.414905899999999,1138,214,50.0,1.3453123021125792,0.001,234550,0.000817358322092332
244800,23440.388670448214,31313,4896,-5.374089829999998,1139,214,50.0,1.360068428516388,0.001,234750,0.0010245541285257786
245000,23464.389200225472,31337,4900,-5.437376849999998,1140,214,50.0,1.3375282979011536,0.001,234950,0.0011328754655551166
245200,23480.007494412363,31356,4904,-5.46914294,1141,214,50.0,1.33101642370224,0.001,235150,0.0007489356544101611
245400,23494.231383983046,31375,4908,-5.501783820000001,1142,214,50.0,1.3408780431747436,0.001,235350,0.000991987835150212
245600,23513.747921921313,31397,4912,-5.5739866000000005,1143,214,50.0,1.3566620874404907,0.001,235550,0.001878632924053818
245800,23519.72148225829,31407,4916,-5.5225233000000005,1144,214,50.0,1.3289658045768737,0.001,235750,0.0010006008832715452
246000,23534.32971776277,31424,4920,-5.511718639999999,1145,214,50.0,1.3666339492797852,0.001,235950,0.000902391315321438
246200,23548.21416132897,31440,4924,-5.538642880000001,1146,214,50.0,1.382023448944092,0.001,236150,0.0011238820676226168
246400,23558.391519438475,31456,4928,-5.512686970000001,1147,214,50.0,1.3234189558029175,0.001,236350,0.0008881427964661271
246600,23559.83065861836,31460,4932,-5.4442024700000005,1148,214,50.0,1.3615024614334106,0.001,236550,0.0012822612933814526
246800,23578.138020053506,31483,4936,-5.451785679999998,1149,214,50.0,1.327223596572876,0.001,236750,0.0008365286362823098
247000,23588.7062074095,31500,4940,-5.380004850000001,1150,214,50.0,1.3731484055519103,0.001,236950,0.000750709933345206
247200,23600.61668189615,31517,4944,-5.285603359999998,1150,214,50.0,1.3619052267074585,0.001,237150,0.0009250368154607713
247400,23623.262577466667,31542,4948,-5.262522669999999,1151,214,50.0,1.33275799036026,0.001,237350,0.0007319330127211288
247600,23626.50923841074,31550,4952,-5.220837509999999,1152,214,50.0,1.3544229555130005,0.001,237550,0.0007546156732132659
247800,23643.593846783042,31570,4956,-5.13522757,1153,214,50.0,1.37058091878891,0.001,237750,0.0008322390704415738
248000,23656.855078656226,31588,4960,-5.17881472,1154,214,50.0,1.3570422005653382,0.001,237950,0.0010415740491589531
248200,23669.88811987266,31603,4964,-5.132634049999999,1155,214,50.0,1.3378059577941894,0.001,238150,0.0007581337756710127
248400,23671.53831277415,31605,4968,-5.09753587,1156,214,50.0,1.3574162912368775,0.001,238350,0.0007272564014419913
248600,23690.981365505606,31627,4972,-5.103151850000001,1157,214,50.0,1.360430874824524,0.001,238550,0.0007600333454320207
248800,23718.82131420821,31651,4976,-5.106850359999999,1158,214,50.0,1.3627497673034668,0.001,238750,0.0009209347126306966
249000,23735.986053943634,31671,4980,-5.13774566,1159,214,50.0,1.3459307694435119,0.001,238950,0.0007324396172771231
249200,23746.838239602745,31686,4984,-5.09254331,1160,214,50.0,1.3689642357826233,0.001,239150,0.0008310107834404335
249400,23762.48124212399,31701,4988,-5.0558246,1161,214,50.0,1.3500702500343322,0.001,239350,0.0007761152670718729
249600,23779.72713873908,31719,4992,-5.0261629800000005,1162,214,50.0,1.3443051481246948,0.001,239550,0.001071497508091852
249800,23807.855729267,31751,4996,-5.09355113,1163,214,50.0,1.3491076636314392,0.001,239750,0.0009924161375965924
250000,23819.329724084586,31767,5000,-5.07236336,1164,214,50.0,1.3492520761489868,0.001,239950,0.0007713716273428872
250200,23835.501975554973,31782,5004,-5.06676036,1165,214,50.0,1.3555771684646607,0.001,240150,0.001348924497142434
250400,23873.007499545813,31815,5008,-5.10024478,1166,214,50.0,1.3602688670158387,0.001,240350,0.0008106462098658085
250600,23893.809476032853,31836,5012,-5.08316259,1167,214,50.0,1.3578973340988159,0.001,240550,0.0007507705880561844
250800,23918.32563238591,31859,5016,-5.12174356,1168,214,50.0,1.33187077999115,0.001,240750,0.0007221109961392358
251000,23943.01792254299,31884,5020,-5.15147611,1169,214,50.0,1.3493363928794861,0.001,240950,0.0007207350293174386
251200,23963.253258503973,31903,5024,-5.1361794,1170,214,50.0,1.3445053124427795,0.001,241150,0.0008327418332919478
251400,23973.63816471398,31921,5028,-5.11228635,1171,214,50.0,1.3439004468917846,0.001,241350,0.0007521764322882519
251600,23983.459090266377,31933,5032,-5.12104435,1172,214,50.0,1.3755304527282715,0.001,241550,0.0008120792638510465
251800,23996.448472250253,31949,5036,-5.078538730000001,1173,214,50.0,1.340259506702423,0.001,241750,0.0010598306072643027
252000,24004.801072888076,31962,5040,-5.059994820000001,1173,214,50.0,1.3478685998916626,0.001,241950,0.0009280259773368016
252200,24033.40875927359,31990,5044,-5.11316689,1174,214,50.0,1.3608063864707947,0.001,242150,0.0008333703654352575
252400,24051.331865619868,32006,5048,-5.0848914,1175,214,50.0,1.342537682056427,0.001,242350,0.000835717372247018
252600,24068.73530602455,32023,5052,-5.13162745,1176,214,50.0,1.353884596824646,0.001,242550,0.0009410306916106492
252800,24097.126414697617,32052,5056,-5.16020899,1177,214,50.0,1.3635872030258178,0.001,242750,0.0006772832467686385
253000,24133.51064836234,32086,5060,-5.22123913,1178,214,50.0,1.3596647262573243,0.001,242950,0.0008509370195679366
253200,24152.88251035288,32105,5064,-5.255047030000001,1179,214,50.0,1.3421964287757873,0.001,243150,0.0007406904856907204
253400,24179.676042016596,32130,5068,-5.396761390000002,1180,214,50.0,1.3495087242126464,0.001,243350,0.000781613668659702
253600,24189.9559177123,32141,5072,-5.34248628,1181,214,50.0,1.3468070936203003,0.001,243550,0.0006184105982538313
253800,24228.430546041578,32171,5076,-5.36350592,1182,214,50.0,1.366884744167328,0.001,243750,0.0007756440818775445
254000,24232.6633871831,32176,5080,-5.27809977,1183,214,50.0,1.3672651267051696,0.001,243950,0.0009301128075458109
254200,24252.778343766928,32193,5084,-5.2860634399999995,1184,214,50.0,1.3417801427841187,0.001,244150,0.0008417454018490389
254400,24281.539067476988,32226,5088,-5.350326050000001,1185,214,50.0,1.3839430785179139,0.001,244350,0.0008893442497355863
254600,24294.66695181653,32243,5092,-5.33173725,1186,214,50.0,1.3370522212982179,0.001,244550,0.0006270436639897525
254800,24298.532394081354,32249,5096,-5.22974611,1187,214,50.0,1.3570662450790405,0.001,244750,0.0008905264490749687
255000,24305.815761700273,32262,5100,-5.20882455,1188,214,50.0,1.376478247642517,0.001,244950,0.0007543036952847615
